b_avg,b_std
0.7985099154869661,0.06115084534925494
0.6598524030474591,0.016730910586609665
0.8866027003714726,0.02978523849389847
0.7424517740051495,0.03959459353644343
0.692897800537583,0.10313517555230634
0.644215269587723,0.01666190858214514
0.8646419885933999,0.018372754046838025
0.9446368517898951,0.036950935002065165
0.8968699496109163,0.018213729832089923
0.7985099154869661,0.06115084534925494
0.6871095202574056,0.010315596291440295
0.8275845569682312,0.011268250283201785
1.0257045302816261,0.053220620971678796
0.863213285409543,0.008828638894049088
0.9758276516388588,0.09281290899862082
0.9522736631813851,0.009439138391237108
0.9117598611147673,0.018410368469917837
0.6948724902883081,0.05175099782745854
0.9679798840504077,0.08179646351048661
0.8432413165489862,0.016419444287234963
0.7497268955911862,0.09730427095791536
0.692897800537583,0.10313517555230634
0.4580723718730746,0.046594929499308144
0.687832814394864,0.01584160644473156
0.9775831111349333,0.012950945270203573
0.9350127969433426,0.028252204777038298
0.624884018600101,0.011989529904239377
0.9492113471959605,0.01756714537259396
0.692897800537583,0.10313517555230634
0.7177062494025552,0.039109002031915696
0.8226831329965547,0.041390405636501454
1.0397552541557928,0.033247663727860866
0.9640878613232042,0.10180713477930434
0.9460296223847533,0.020227180744535805
0.7800640967710637,0.042705026633352405
0.8195025880245034,0.057441339698366393
0.956936743736641,0.03757417576967467
0.692897800537583,0.10313517555230634
0.691237872587142,0.1355839996746093
0.8915689643404983,0.014933125517258533
0.9471661377075111,0.016947956892012672
0.7985099154869661,0.06115084534925494
0.7553442685289169,0.05275706168245711
0.9471661377075111,0.016947956892012672
0.5977262042599769,0.01652502390083055
0.8122555078331577,0.011800214191668854
0.9471661377075111,0.016947956892012672
0.8810670098659039,0.023436911701104325
0.863213285409543,0.008828638894049088
0.9282588107115366,0.055597016970140384
