,b_sequence,std_sequence,p_l_sequence,b_close_after,std_close_after,p_l_close_after,b_close_before,std_close_before,p_l_close_before,b_far_after,std_far_after,p_l_far_after,b_far_before,std_far_before,p_l_far_before,b_before,std_before,p_l_before,b_after,std_after,p_l_after,b_close,std_close,p_l_close,b_far,std_far,p_l_far,b_before1,std_before1,p_l_before1,b_before2,std_before2,p_l_before2,b_before1_close,std_before1_close,p_l_before1_close,b_before2_close,std_before2_close,p_l_before2_close
886783,0.6495625318279494,0.031169386808156563,0.09149369846017047,,,,,,,0.7394871911394784,0.08052312845319688,0.6968964934976151,0.6491579069027829,0.03461075254384131,0.09359743083784026,0.6426019535211708,0.0340796799087155,0.08725657784414421,0.6860250830361937,0.07693855345643504,0.8542479808819567,,,,0.6626085196724367,0.03193645943259816,0.08485883679166491,0.7397401718304664,0.05488735264498322,0.027759871321857244,0.5646213130129069,0.04162711579254044,0.7667975683121472,,,,,,
919617,0.76167504704374,0.01806865413366082,0.1565588309764563,0.7520184352764882,0.09685418259306466,0.05119621928540022,0.6823206574449272,0.03962497291876306,0.005501194774197121,0.6466402757121309,0.07849524214252263,0.7146590979411656,0.8192655492366523,0.02215389050663639,0.800096551773788,0.7682434414335237,0.018879983972167627,0.26814999133706147,0.680168404129424,0.06124486315361597,0.5721039384112926,0.6940738817827001,0.03677543507612224,0.0009999999999998899,0.8078652549207891,0.021431677794836894,0.8977818259094437,0.7735829072416888,0.026129254032026886,0.11207599874601597,0.7627861677619363,0.027281928572395624,0.3190322703738896,0.6607207738747851,0.0522655208335186,0.11311374535513524,0.7065779798202968,0.0606145965930375,0.05196523821290551
931404,1.6316137497701835,0.1925260776323598,0.366891643386529,,,,,,,,,,1.6221485557169277,0.1908844714099365,0.3664172830570765,1.6812232938440594,0.22082518321672373,0.6716336115812831,,,,,,,1.582584819206648,0.17400845564349424,0.2226659034367003,,,,,,,,,,,,
1082854,0.786198317512889,0.016110680782207728,0.2796697704944739,0.798814110107569,0.019387063058146643,0.24007898956953133,,,,0.7630918893588603,0.033221423484902236,0.15578349666746505,0.837442609436252,0.05897996304759351,0.8209465143539275,0.8248497393023825,0.05643709705578978,0.8807023823411457,0.7821796384722862,0.01679906744261737,0.18691085469479402,0.797960416688471,0.01923729064201953,0.24817946953319228,0.7855391177153597,0.029111104983997736,0.4403637727628806,0.8437355618483802,0.08725459061801914,0.250891672571946,0.8071265949561739,0.07330225736107712,0.8614131974335031,,,,,,
1128802,0.9333763162485336,0.02026620743696224,0.1409367814041017,0.9595865560264117,0.04633370764270731,0.7226276868639192,,,,0.9673186527250182,0.050075859974823264,0.7972837020043846,0.9282632256260471,0.026015460184575165,0.03016608327016151,0.9303235794485459,0.025922632173856798,0.01851395506435599,0.939080847228028,0.03212152425985092,0.13392445008659984,0.9644725912100994,0.04571092671241144,0.7691255894913617,0.9359438313033701,0.02314424442879105,0.052403025128341066,0.9036862060897844,0.036094602040519674,0.003137130102820095,0.9585468816404359,0.037151197450875424,0.748678354230694,,,,,,
1238568,0.7992951555798563,0.012124318536513714,0.548091384962841,0.8900496758037401,0.019871534940732686,0.10269277329380244,0.8912495359940751,0.056495725693877306,0.3737933652866397,0.8130493967748034,0.056833515262280726,0.7424187942379793,0.7180173045998739,0.016476320594848895,0.2620465638245071,0.7326363489338517,0.015758392431820874,0.6116004108499674,0.8760445226976743,0.01843785851315039,0.05508914750626989,0.8904721996139311,0.018751482214247373,0.06811662407553598,0.7258651999422709,0.015829199595275973,0.40508952951543636,0.7360159199755565,0.022783144607555223,0.5470035159857676,0.7293448907540907,0.021814480087459443,0.6201479777481084,0.8913685636217331,0.07398554884826336,0.2880091091227679,0.8876871005335004,0.08587669185379833,0.34305384240844866
1398094,0.9247887923488989,0.030963205253330846,0.7556523003665965,0.9720839466314868,0.09009785993757806,0.6160151405622711,0.7677517628174639,0.10357179833091308,0.3474842450025428,0.908074140212025,0.07167818814812985,0.6220840933468881,0.9201338759914282,0.039011118659364574,0.7343893114871028,0.9061657077020057,0.03630183590334781,0.47795266462172864,0.9583635490399279,0.05773223217480257,0.46072036236169767,0.9290727055438245,0.07247538194110298,0.750360306725817,0.9168047807290447,0.03428125326876559,0.6851588786387337,0.8458627825135264,0.04982925606823596,0.8346835764238704,0.9706052227378155,0.05210341909195644,0.51561041336675,,,,,,
1804596,0.8623635216889725,0.10954352846238585,0.23186383528317703,,,,,,,,,,,,,,,,0.791812460476248,0.13231223189515556,0.601627041169877,,,,0.8584087571636703,0.11699036113340376,0.17285005552388885,,,,,,,,,,,,
1805862,0.9712549030441577,0.09920937133222518,0.6845618527870427,0.9168198534640503,0.1060948031887039,0.12246380723896642,,,,1.2493873660829997,0.16973013136094414,0.6141516787376318,,,,,,,1.0247021869918889,0.09840852621658704,0.24926011921783287,0.9061070782840663,0.10336956977720217,0.20496017142789869,1.0854832042013056,0.1854801077476296,0.8188053331979455,,,,,,,,,,,,
1945109,0.949381845042597,0.02185971793735552,0.3057114512883398,0.836817472743013,0.06989807032773024,0.6212458464027929,0.988425262993778,0.07646587154546974,0.7515215129808152,0.9769629128811671,0.041447282968547064,0.8486779480098492,0.9298937702582185,0.028758733198017757,0.5793966647859404,0.9375718970725504,0.027071504640351636,0.5299565966474102,0.968143077558448,0.03686149094855622,0.48122677814919107,0.909748844974698,0.052071157690018424,0.7267715716629972,0.9468018876042907,0.02366871342761089,0.5847299249866537,0.9383911184480884,0.03806386066702686,0.4128307711106002,0.9350730130761754,0.03845024439529261,0.4967640755994499,0.9634193643012873,0.11007212224459478,0.7705698413112664,1.0158827528582706,0.105394559388239,0.6101688845922654
1953386,0.8855793864329057,0.09472817348427152,0.7350755245172275,0.7968361103354573,0.13890486589619047,0.4493570057551818,,,,,,,,,,,,,0.8224457346519666,0.10676223351705581,0.7833289067937613,0.7968361103354573,0.13890486589619047,0.4729224974117767,0.9497551323085673,0.11194795116606489,0.2503149103747187,,,,,,,,,,,,
1996579,0.4808762276941873,0.035480269520020445,0.08489442999008767,,,,,,,,,,0.48927268312166333,0.04664373648488127,0.3506892737847074,0.4722222881894891,0.04067068101011155,0.10780269470064598,,,,,,,0.5102173055303234,0.04181380057238298,0.3547624204565175,0.44404709242917917,0.05086578025962695,0.16430461549527212,0.508526988373348,0.06677591325378675,0.6683934033512786,,,,,,
2031462,0.5013329062096314,0.04856229455790995,0.5913041709414154,0.6388477119832195,0.104193984083507,0.866562891453289,,,,0.6953960020889274,0.14845058568812772,0.738564542482012,,,,,,,0.5936066693159158,0.07343587213901424,0.589241901142451,0.5479790005101817,0.07640283639571051,0.8436983561151551,0.5101883167153616,0.08255881007781089,0.4255329366836554,,,,,,,,,,,,
