nan,nan
nan,nan
1.799873668253682002e-02,2.492114785696075696e-02
nan,nan
nan,nan
6.245784503610130045e-04,6.895817940523185641e-04
2.220287884567506698e-02,4.023979473083094671e-02
nan,nan
2.960497038357501332e-02,1.039467593730247774e-02
nan,nan
nan,nan
1.493240884711477534e-03,1.760047483791771228e-03
nan,nan
3.193055141044012224e-01,4.970575956759977210e-01
3.385015574009719863e-02,1.355156195992646140e-01
9.486264029354707361e-04,2.254996529581276832e-03
5.189108433846165713e-01,nan
nan,nan
nan,nan
3.568879095662558232e-01,4.993317865294787383e-01
nan,nan
nan,nan
nan,nan
nan,nan
5.650164679093986342e-01,7.702083011084108755e-01
nan,nan
nan,nan
6.316979177089621089e-03,3.366638731990156952e-02
1.867363852903574095e-01,2.203244037279348255e-01
8.500721854157605728e-01,nan
3.915535455362165740e-01,4.820505204024999601e-01
9.763012210839372429e-02,1.936374070374735634e-01
2.151062177404223785e-01,nan
1.584614889255969716e-01,8.603989505563403029e-02
nan,nan
1.395239794858438298e-02,2.968596504041398632e-02
nan,nan
nan,nan
nan,nan
3.704609336037101297e-02,1.846106018602033938e-02
2.703381962732009924e-09,2.161826273550104816e-10
9.860553894858570256e-02,4.508050155389342617e-02
nan,nan
2.965217570229511379e-01,5.928319835731128418e-01
nan,nan
2.809791348651849985e-01,5.167337918153028786e-01
1.627444499154350188e-01,2.042346985212069033e-01
8.573035429964903642e-03,2.617747390498870175e-02
1.663884588647301932e-03,3.788421891581905676e-03
nan,nan
