,b_sequence,std_sequence,p_l_sequence,b_close_after,std_close_after,p_l_close_after,b_close_before,std_close_before,p_l_close_before,b_far_after,std_far_after,p_l_far_after,b_far_before,std_far_before,p_l_far_before,b_before,std_before,p_l_before,b_after,std_after,p_l_after,b_close,std_close,p_l_close,b_far,std_far,p_l_far,b_before1,std_before1,p_l_before1,b_before2,std_before2,p_l_before2,b_before1_close,std_before1_close,p_l_before1_close,b_before2_close,std_before2_close,p_l_before2_close
199680,0.6715848570202559,0.08610950434926179,0.5925399001098919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221582,0.7036278100043617,0.0692418999143332,0.6177719318455245,,,,,,,,,,0.6824125998361203,0.0979618259122874,0.5108926072833418,0.6850806566284201,0.0948208370631152,0.37694180044852865,,,,,,,0.721730197492474,0.0780896869851438,0.3550152392557953,,,,,,,,,,,,
243787,0.847733068120368,0.012566239009105062,0.001148164965557693,0.839120960672762,0.013692239748768133,0.0009999999999998899,,,,0.8876567743526212,0.03831714797348745,0.7471474142006557,0.883201507850624,0.05862580772748251,0.20529220157439165,0.871838041584155,0.05457926087757519,0.335719591037058,0.8459727434085129,0.012901989544703086,0.001000965332164005,0.8403614910114386,0.013684692942847056,0.001018161533436191,0.8862939803989821,0.032056918503305186,0.516636763930758,0.8334859998865907,0.06861907538109321,0.7419039529868405,0.912248457347341,0.08670834810172509,0.1564580773475859,,,,,,
305759,0.5479177924737011,0.04667712650781826,0.35839042354287537,,,,,,,0.4918292958447683,0.054883113146844034,0.2255151905610143,,,,,,,0.5027135654499305,0.043012140855595814,0.11053497977469157,,,,0.5603228706546781,0.062371335078528316,0.7773024370532211,,,,,,,,,,,,
508839,0.5098396258425102,0.040177916103872204,0.29479553153492616,,,,,,,,,,0.5370470108645328,0.05407814088740633,0.16085561657228822,0.4931938676958056,0.04050114345941372,0.2302744249541393,,,,,,,0.5422861924278329,0.051624735923950275,0.21897208297239376,0.5531645158265008,0.06515495278628962,0.11287492375146072,0.44303957588585513,0.05018909327582684,0.06430762178015932,,,,,,
574815,0.6835799454240924,0.013054473573522985,0.004753865091473156,0.675673021259453,0.01374369362918043,0.0018579613533494996,,,,0.6798050075518185,0.053955556167448765,0.2467553307912066,0.8202765314365916,0.06721689920976655,0.8411026775444929,0.8064527891652553,0.06448767772557283,0.5623097725582376,0.676838355094638,0.013297486874142393,0.005161516660052574,0.6756506321753171,0.013722249079217048,0.001847047521767054,0.7318193622580059,0.0428839429753767,0.3832304996275899,0.7690690650047127,0.08662498505362155,0.6755457010913105,0.847795667656296,0.09838638201698335,0.8904528106051492,,,,,,
776540,0.878916723680436,0.02595299602603508,0.34015107674687656,,,,0.8506722457060768,0.11320337484084947,0.48933089837407373,,,,0.8760884354889078,0.026432526824720498,0.35249574189257316,0.878916723680436,0.02595299602603508,0.3527976886063151,,,,0.8506722457060768,0.11320337484084947,0.4991114145655326,0.8760884354889078,0.026432526824720498,0.33915624008890816,0.8723302472371139,0.037524734546385025,0.15762346314672077,0.8858113082534891,0.03573995074299174,0.7206338829481673,,,,,,
801051,0.9547590774705806,0.06388012490541993,0.6017903935784229,0.846261178657477,0.09472140092346297,0.27165076027654805,,,,1.0246609495214403,0.08570269586397919,0.4197249684223283,,,,,,,0.9581836312811757,0.06501694543870638,0.5563852483869393,0.8452042371498794,0.09275709640761198,0.23912594949088287,1.0203233249528132,0.08440563244827574,0.39991397709554755,,,,,,,,,,,,
834428,0.8010408778419549,0.013638549601124287,0.06743211983907399,0.7851265908213486,0.015617307764562665,0.0644252857279612,,,,0.8018970024099183,0.05200960508967357,0.40567567268234117,0.8906789189017027,0.03355404692346544,0.7895843400569305,0.8957422395287846,0.03340228534414323,0.7663530129956732,0.7796790317885813,0.01487903152579457,0.020728487915138746,0.7850145209573315,0.015580506094515634,0.0938713390435426,0.8686346537219181,0.028274144095438276,0.787192642823113,0.867904051216012,0.044175280624045084,0.9006599009417048,0.9243877592221533,0.05049485125206298,0.3384980506237515,,,,,,
847113,0.6717172527303805,0.036309491114985104,0.44157365873588617,,,,0.6449487355170208,0.08021704097939979,0.4124650022856259,0.6822055118920125,0.07221982155991306,0.5193337024591128,0.7069396112477027,0.05330523898752048,0.46396535617146006,0.6553444860735541,0.042399642786619465,0.34643489755818235,0.7131358995030929,0.07009218087645303,0.9210442433824116,0.6428314074496072,0.07147692676092385,0.3868452258967499,0.6990155748830862,0.042753335368372135,0.7845186947465934,0.7069827695323905,0.067473834615328,0.4644228807159512,0.6094415964150254,0.05354785829477433,0.5893788765676429,,,,,,
