,b_sequence,std_sequence,p_l_sequence,b_close_after,std_close_after,p_l_close_after,b_close_before,std_close_before,p_l_close_before,b_far_after,std_far_after,p_l_far_after,b_far_before,std_far_before,p_l_far_before,b_before,std_before,p_l_before,b_after,std_after,p_l_after,b_close,std_close,p_l_close,b_far,std_far,p_l_far,b_before1,std_before1,p_l_before1,b_before2,std_before2,p_l_before2,b_before1_close,std_before1_close,p_l_before1_close,b_before2_close,std_before2_close,p_l_before2_close
199680,0.6694678963061321,0.08386512845076277,0.47815748074179576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221582,0.7098099389045487,0.07007289949360451,0.5251456153569509,,,,,,,,,,0.6877848564785756,0.09800199608033369,0.49176679433012055,0.6850806566284201,0.0948208370631152,0.34309625028284585,,,,,,,0.7185412412535735,0.07817493538644514,0.2990654197082497,,,,,,,,,,,,
243787,0.8471819250195991,0.012197397392777087,0.0012596225873625889,0.8391379476313062,0.013202899165089937,0.0009999999999998899,,,,0.8912319214566637,0.0384885812267113,0.7553836612770839,0.8841012035244676,0.06054985020515915,0.08498061063602852,0.871838041584155,0.05457926087757519,0.3624954506364623,0.845617349181029,0.012505389323048975,0.0010215856116308432,0.8388156695810178,0.013131836981308107,0.0010062154232586098,0.8891153245853995,0.032469031351387026,0.5747737654899455,0.8390188472020916,0.06857655700136331,0.7377097983393927,0.9070570060677159,0.08695424931819931,0.09452585772241794,,,,,,
305759,0.5075353805376744,0.04002449546894931,0.2407462893156133,,,,,,,0.4803725685557369,0.04717791067150957,0.16630748131352432,,,,,,,0.47107490037231037,0.03720358252821677,0.07202495903891201,,,,0.5407528618656982,0.05363520866963096,0.514935014233481,,,,,,,,,,,,
508839,0.5049698348230809,0.03965847654587974,0.32467321856317477,,,,,,,,,,0.5166017239636185,0.05256837394238388,0.2893881249801467,0.4931938676958056,0.04050114345941372,0.23837676530744656,,,,,,,0.5131831534189458,0.049143347866159884,0.45560845386020155,,,,,,,,,,,,
574815,0.6795058638931334,0.012177769800074876,0.0029544456612011437,0.6755900619764352,0.012749978549519684,0.0016366325990457384,,,,0.648790954612371,0.048901094217320015,0.486770110447087,0.8306137571620898,0.06736128749068031,0.6726324925204505,0.8064527891652553,0.06448767772557283,0.5741411386974415,0.6734638844988488,0.012372576362097177,0.003910566858927641,0.6747977535744311,0.012719906570999326,0.0015349254287118236,0.7144974683646701,0.04048026409661404,0.6716277063972528,0.7543815408306097,0.08196662930591575,0.5225579732701877,0.865366786795958,0.10236773417541642,0.8886268515464134,,,,,,
776540,0.878916723680436,0.02595299602603508,0.340940792827719,,,,0.8828975779995604,0.10771841480265315,0.4379870081513091,,,,0.8786537372722066,0.026749203069935293,0.3608125560909777,0.878916723680436,0.02595299602603508,0.36023783661189024,,,,0.8828975779995604,0.10771841480265315,0.4029236584144749,0.8786537372722066,0.026749203069935293,0.36849835890499416,0.8637234294032201,0.037271241331770864,0.17792243615217185,0.8946304728811347,0.03598902066041526,0.7926421420467028,,,,,,
801051,0.954564800359668,0.0582140355163275,0.46327001377233346,0.7872433439905869,0.08033721080113453,0.13876841702860787,,,,1.0557619198674415,0.07962144277524516,0.5487026741462484,,,,,,,0.9555235210565147,0.0586083982015069,0.5011095308213366,0.7872433439905869,0.08033721080113453,0.14334619856655423,1.0533035606849304,0.07873275722883447,0.49892143611845086,,,,,,,,,,,,
834428,0.8031301540913821,0.013182854533471091,0.03439272010893327,0.786498807290229,0.014894309343440559,0.03171071119473153,,,,0.7388924089607346,0.04915629935739172,0.07885756970496517,0.89888170775807,0.033961257726323454,0.6921777437503225,0.8957422395287846,0.03340228534414323,0.7801407877693468,0.7834696294015105,0.014282735875045888,0.013195253303977797,0.786645679985609,0.014844535679837154,0.028650924669181822,0.8610018499307471,0.028379390967987785,0.6308588512654457,0.8654583471770487,0.04364385998759981,0.8825833061340606,0.9282307103313502,0.05125278158230556,0.3396487862722335,,,,,,
847113,0.6714246184924353,0.036126643835136016,0.44013083734961933,,,,0.6430858026977163,0.08020714552027505,0.30957723384026187,0.7209635023154392,0.07937446202173758,0.8171507777535885,0.659491956289933,0.049983815362719064,0.5226232432659434,0.6553444860735541,0.042399642786619465,0.3542768023964197,0.711278725724857,0.06881655938742091,0.923021376012161,0.6491765135294442,0.0688672300032303,0.3884104771556606,0.6782282519120003,0.04232965289952726,0.6742481895553298,0.7022640339469832,0.06742536556038635,0.46984959220633626,0.6143116454364875,0.053748008036041454,0.5312698751037233,,,,,,
886783,0.6495625318279494,0.031169386808156563,0.09557704156348722,,,,,,,0.7394871911394784,0.08052312845319688,0.6985464394046811,0.6497836753687829,0.03470689757009958,0.0916116518163129,0.6426019535211708,0.0340796799087155,0.09055388233941583,0.6860250830361937,0.07693855345643504,0.8211611492895576,,,,0.6631520828040529,0.032012268179178696,0.0786371872643427,0.7393056998139462,0.056161846573159084,0.07417673021286403,0.5683021338641056,0.04116405347190744,0.6060503711027286,,,,,,
919617,0.76167504704374,0.01806865413366082,0.1421335645513063,,,,0.6060980173950452,0.03128533573311623,0.06906191392002521,0.5863467978983827,0.06981467710231395,0.8119179154588754,0.8153447300067278,0.02253918984558108,0.5873479339045592,0.7682434414335237,0.018879983972167627,0.25309912784636335,0.6840073970606121,0.061488118835405066,0.5600569018289001,0.6362822816377822,0.030648591765959327,0.04090132081735067,0.8001082184473958,0.021662125398448487,0.5546873266207957,0.7742177916342344,0.026354057932967124,0.09319462338441956,0.7623608236694639,0.02702865675329907,0.34015153999634196,0.5594627912614237,0.040365660475610673,0.16627574334918535,0.6607653898857886,0.04829213935551881,0.24904488202509956
