,b_sequence,std_sequence,p_l_sequence,b_close_after,std_close_after,p_l_close_after,b_close_before,std_close_before,p_l_close_before,b_far_after,std_far_after,p_l_far_after,b_far_before,std_far_before,p_l_far_before,b_before,std_before,p_l_before,b_after,std_after,p_l_after,b_close,std_close,p_l_close,b_far,std_far,p_l_far,b_before1,std_before1,p_l_before1,b_before2,std_before2,p_l_before2,b_before1_close,std_before1_close,p_l_before1_close,b_before2_close,std_before2_close,p_l_before2_close
199680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221582,0.7036278100043617,0.0692418999143332,0.6015714299464376,,,,,,,,,,0.6877848564785756,0.09800199608033369,0.49698972994625457,0.6850806566284201,0.0948208370631152,0.3650618699881131,,,,,,,0.7115646215700642,0.07717034319728229,0.4003434959066437,,,,,,,,,,,,
243787,0.847733068120368,0.012566239009105062,0.001172658906839414,0.8395083142097736,0.013676694479454394,0.0009999999999998899,,,,0.8888498562211614,0.038390345633818206,0.7226503446805781,0.8841012035244676,0.06054985020515915,0.08521119359623523,0.871838041584155,0.05457926087757519,0.3307157765668078,0.8460906118677743,0.012902647668591505,0.0010084641431818248,0.8391540630236946,0.013598105421358753,0.0010084514570647429,0.8874391872545752,0.032410837063326224,0.5766433336991178,0.8390188472020916,0.06857655700136331,0.7571238405435774,0.9070570060677159,0.08695424931819931,0.11355568872110071,,,,,,
305759,0.5479177924737011,0.04667712650781826,0.3800235463740962,,,,,,,0.5043880908724085,0.054276375746519535,0.14539449836362078,,,,,,,0.5027135654499305,0.043012140855595814,0.11582183488486399,,,,0.5774285349113147,0.06236890043484323,0.7191206816503872,,,,,,,,,,,,
508839,0.5098396258425102,0.040177916103872204,0.3117135653088559,,,,,,,,,,0.5166017239636185,0.05256837394238388,0.30262039687843895,0.4931938676958056,0.04050114345941372,0.23399848443239926,,,,,,,0.5210444856346722,0.05007656156997865,0.3791601135159035,,,,,,,,,,,,
574815,0.6835799454240924,0.013054473573522985,0.005017870856404892,0.6792725904990184,0.013745471246441088,0.0018786340921886648,,,,0.6522296903188626,0.049722700744273915,0.4934762977941224,0.8306137571620898,0.06736128749068031,0.646695400495927,0.8064527891652553,0.06448767772557283,0.5543337908763489,0.676838355094638,0.013297486874142393,0.004961012704505553,0.6783364167579392,0.013708050967583827,0.0016813968310034947,0.7173509041708768,0.04090717565746932,0.6637566989065147,0.7543815408306097,0.08196662930591575,0.5532880224961224,0.865366786795958,0.10236773417541642,0.8915468012230728,,,,,,
776540,0.878916723680436,0.02595299602603508,0.3548815864809626,,,,0.8828975779995604,0.10771841480265315,0.42098996723337573,,,,0.8786537372722066,0.026749203069935293,0.3528207891389753,0.878916723680436,0.02595299602603508,0.33800348424430093,,,,0.8828975779995604,0.10771841480265315,0.40707189543501515,0.8786537372722066,0.026749203069935293,0.3579071132653366,0.8637234294032201,0.037271241331770864,0.17571816491741882,0.8946304728811347,0.03598902066041526,0.8041660712871355,,,,,,
801051,0.9547590774705806,0.06388012490541993,0.5837695734127865,0.7692125231672629,0.08147715091012733,0.06510946831142762,,,,1.0758506206954677,0.09176525308623269,0.8156081874920116,,,,,,,0.9558649368453216,0.06437936587980009,0.5770597848777136,0.7692125231672629,0.08147715091012733,0.0634357956590146,1.0727179532693973,0.09054021452161289,0.7487179925821472,,,,,,,,,,,,
834428,0.8010408778419549,0.013638549601124287,0.062176343015112906,0.782964909603258,0.015560220831904866,0.04834381480033941,,,,0.7277087900927677,0.048780105352973946,0.05535461145443052,0.89888170775807,0.033961257726323454,0.6758060909419221,0.8957422395287846,0.03340228534414323,0.7638107626877221,0.7791997542659986,0.014862726276051723,0.01979594656146552,0.7831544015869677,0.01550348835120622,0.039140925047542255,0.858797189777128,0.028374928110484345,0.6507930214069375,0.8654583471770487,0.04364385998759981,0.8731852773979455,0.9282307103313502,0.05125278158230556,0.3313617762965434,,,,,,
847113,0.6717172527303805,0.036309491114985104,0.4166552410735443,,,,0.6430858026977163,0.08020714552027505,0.3023320798964059,0.716380095406526,0.07909167930564952,0.8017759231375752,0.659491956289933,0.049983815362719064,0.5233930070896312,0.6553444860735541,0.042399642786619465,0.3318908323444114,0.7131358995030929,0.07009218087645303,0.9146224265426085,0.6548451726632627,0.07068898014934646,0.3218755527852536,0.6767780222856149,0.04227161860636436,0.6637227467281676,0.7022640339469832,0.06742536556038635,0.42566364311510196,0.6143116454364875,0.053748008036041454,0.5543590388616831,,,,,,
