,b_sequence,std_sequence,p_l_sequence,b_close_after,std_close_after,p_l_close_after,b_close_before,std_close_before,p_l_close_before,b_far_after,std_far_after,p_l_far_after,b_far_before,std_far_before,p_l_far_before,b_before,std_before,p_l_before,b_after,std_after,p_l_after,b_close,std_close,p_l_close,b_far,std_far,p_l_far,b_before1,std_before1,p_l_before1,b_before2,std_before2,p_l_before2,b_before1_close,std_before1_close,p_l_before1_close,b_before2_close,std_before2_close,p_l_before2_close
199680,0.7457330380727137,0.08167379525517099,0.6410611691980214,,,,,,,,,,,,,,,,0.7336970460381596,0.08402446999380551,0.4963199032173641,,,,,,,,,,,,,,,,,,
221582,0.7145823270783148,0.06849970585170126,0.4763193834085846,,,,,,,,,,0.6824125998361203,0.0979618259122874,0.46611261459622794,0.6850806566284201,0.0948208370631152,0.3580513183548267,0.7455284186555382,0.09805698884499524,0.2305388140985545,,,,0.7242691889819385,0.07709246733487704,0.4932539829655469,,,,,,,,,,,,
243787,0.8502071726316608,0.011479705334719786,0.0010247556453098342,0.8447571972022415,0.012336600817673167,0.0009999999999998899,,,,0.8898304212932648,0.0383181674640577,0.7787108724997346,0.883201507850624,0.05862580772748251,0.21702484854585194,0.871838041584155,0.05457926087757519,0.34757404024280736,0.8496381595349562,0.011738789266363944,0.001001023494315425,0.844892693697313,0.012325666480372095,0.0010124852029139812,0.8878073831671958,0.03205765500153629,0.5381573397451472,0.8334859998865907,0.06861907538109321,0.7344123294337388,0.912248457347341,0.08670834810172509,0.1721475721443734,,,,,,
305759,0.5211061039254153,0.03229319538771724,0.24495674081455882,0.5297870532102575,0.05484063360394901,0.2889116162638081,,,,0.49369400465991264,0.03653871841682403,0.020812163007725027,,,,,,,0.5025671439240591,0.031572050894661544,0.17761359012953612,0.5297870532102575,0.05484063360394901,0.27899920590938687,0.5250056641198237,0.03864570352687442,0.13976529595331835,,,,,,,,,,,,
508839,0.4936501691152509,0.039343443005832944,0.7545741989059843,,,,,,,,,,0.5370470108645328,0.05407814088740633,0.1524895608516871,0.4931938676958056,0.04050114345941372,0.24622378599543562,,,,0.4904939735961697,0.06842019657024455,0.8642253259231493,0.5327085815428301,0.05391751224172521,0.3533992957466333,0.5531645158265008,0.06515495278628962,0.10539199855176141,0.44303957588585513,0.05018909327582684,0.06324647415162112,,,,,,
574815,0.6877126719707821,0.010863753375657892,0.005578454260499942,0.6837643750443069,0.011273360590237211,0.0021126546676495514,,,,0.6705301305829292,0.052579210919882255,0.2497316906899178,0.8202765314365916,0.06721689920976655,0.8630774571491368,0.8064527891652553,0.06448767772557283,0.576467613743231,0.6841386143167713,0.011008501983916523,0.006547453065605081,0.6829610276259396,0.01125862744082783,0.0022546206705050327,0.7267857548542868,0.04233938813720911,0.3966531828800609,0.7690690650047127,0.08662498505362155,0.6668260838515774,0.847795667656296,0.09838638201698335,0.8946905541555522,,,,,,
776540,0.8757200517453299,0.025938953649581407,0.3094515870857357,,,,0.8506722457060768,0.11320337484084947,0.5044163632497658,,,,0.8760884354889078,0.026432526824720498,0.3564979403849449,0.878916723680436,0.02595299602603508,0.3563243624543413,,,,0.8035660395555948,0.10908568328598876,0.3482255302916861,0.8760884354889078,0.026432526824720498,0.35992106209634017,0.8723302472371139,0.037524734546385025,0.16459222003435195,0.8858113082534891,0.03573995074299174,0.6960621703444758,,,,,,
801051,0.7748146116973044,0.045123364640848165,0.7665914151071592,0.7049506686253213,0.07144952742683405,0.29848984068930723,,,,0.8710277659395234,0.05803127041470279,0.30463429879851117,,,,,,,0.7813475281378743,0.04574247807420687,0.7540322632510034,0.6717736807080694,0.07149522204193015,0.3724291548748848,0.8584919630445306,0.05740545166910675,0.3422779168462624,,,,,,,,,,,,
834428,0.8020070426444924,0.012295641693305898,0.010071708960411487,0.7903790003625109,0.013682228905519924,0.008005389091135585,,,,0.8141412747991676,0.05130495185793151,0.2893686467531535,0.8906789189017027,0.03355404692346544,0.788499951162916,0.8957422395287846,0.03340228534414323,0.7132824414870275,0.7862273468143538,0.013153979778709714,0.002358538452842372,0.7892455997831915,0.013677609056995504,0.016170580749470437,0.8709949071190984,0.028141082580644197,0.7959183461156468,0.867904051216012,0.044175280624045084,0.8979496114393476,0.9243877592221533,0.05049485125206298,0.374424937779672,,,,,,
847113,0.6716067512220705,0.035036278616336396,0.41388873212122634,,,,0.6449487355170208,0.08021704097939979,0.410108102329095,0.679002356379358,0.06742921660595937,0.3972900005938785,0.7069396112477027,0.05330523898752048,0.4626528971166098,0.6553444860735541,0.042399642786619465,0.3494325686126992,0.7064007767984776,0.0619757363871074,0.938192613514197,0.6598133280788363,0.06818989599153763,0.3118007254533094,0.69756155748179,0.04191173519051917,0.82357822896965,0.7069827695323905,0.067473834615328,0.47344979819630134,0.6094415964150254,0.05354785829477433,0.5755460873703414,,,,,,
