,b_sequence,std_sequence,p_l_sequence,b_close_after,std_close_after,p_l_close_after,b_close_before,std_close_before,p_l_close_before,b_far_after,std_far_after,p_l_far_after,b_far_before,std_far_before,p_l_far_before,b_before,std_before,p_l_before,b_after,std_after,p_l_after,b_close,std_close,p_l_close,b_far,std_far,p_l_far,b_before1,std_before1,p_l_before1,b_before2,std_before2,p_l_before2,b_before1_close,std_before1_close,p_l_before1_close,b_before2_close,std_before2_close,p_l_before2_close
886783,0.6477947094220474,0.03041938714010752,0.1578247932470149,,,,,,,0.7058107428570727,0.07093414941120338,0.8621704855245926,0.6497836753687829,0.03470689757009958,0.0907867499677563,0.6426019535211708,0.0340796799087155,0.08057033380162018,0.6682243902649859,0.06770146729947125,0.8910733925656094,,,,0.6606180206727365,0.03120808694378241,0.1490911071316366,0.7393056998139462,0.056161846573159084,0.07819496498719054,0.5683021338641056,0.04116405347190744,0.6424605913654088,,,,,,
919617,0.7650689857566745,0.017850378655186645,0.1812239502827394,0.8128124205480223,0.07559082891683673,0.39300056427132896,0.6060980173950452,0.03128533573311623,0.06976077013386041,0.6654109648396721,0.07647150341061376,0.7826746593856571,0.8153447300067278,0.02253918984558108,0.5798865875887234,0.7682434414335237,0.018879983972167627,0.25577148709171693,0.7387608368672375,0.05478460323892508,0.762622847959813,0.6496311562606704,0.029629214358312103,0.038653273928780464,0.8044661625160454,0.021707294663981122,0.5837473508108668,0.7742177916342344,0.026354057932967124,0.09632154143991307,0.7623608236694639,0.02702865675329907,0.36811711908680556,0.5594627912614237,0.040365660475610673,0.16006832627978107,0.6607653898857886,0.04829213935551881,0.2466673143584569
931404,1.6554107672237304,0.19619211252777613,0.4167027077659632,,,,,,,,,,,,,1.6812232938440594,0.22082518321672373,0.6675650191396005,,,,,,,1.802873736492894,0.1969383279034051,0.30934643761015296,,,,,,,,,,,,
1082854,0.787952350761461,0.014289818841669553,0.14975253608592662,0.8010438867163391,0.016833145890009595,0.285776697015135,,,,0.724238176918863,0.0303850761459757,0.006074315625338183,0.8409916547472068,0.05963082532744001,0.8651981694280666,0.8248497393023825,0.05643709705578978,0.8606021058581309,0.7849758218541464,0.014763019850002189,0.10187210074021634,0.799733764958489,0.016751654625293107,0.30584756300274657,0.7548127303311852,0.027302009426417913,0.04455179323219162,0.8432088570003593,0.08631333245315077,0.34034555618601353,0.8072753002484221,0.07403085040589867,0.8837006070266885,,,,,,
1128802,0.9231262325375005,0.01860986766808155,0.20936190945710142,0.9134503159701173,0.0350357206311217,0.4846236655519387,,,,0.9148626283581791,0.040453662352564736,0.7075541200823987,0.9307903049304699,0.026199076158595912,0.015244767039883762,0.9303235794485459,0.025922632173856798,0.018718510602265603,0.9140076984416063,0.026536458032098875,0.37897755136456623,0.912963073647794,0.034323233526215316,0.3609793320884813,0.9269689418418346,0.022131572609304873,0.07687409977106499,0.9036862060897844,0.036094602040519674,0.0028271270603383632,0.9585468816404359,0.037151197450875424,0.7297910097314672,,,,,,
1238568,0.8057160518223531,0.011161931876162674,0.20223455398913992,0.8642514302646215,0.015992428126401743,0.00683844702701793,0.8588314097905341,0.055731128526443026,0.15945893800444788,0.893568751176105,0.062066085417365933,0.8565226985597427,0.7193863161634771,0.01635900489584304,0.33201785560944996,0.7326363489338517,0.015758392431820874,0.6183898856455369,0.8662786262535783,0.015488666154960367,0.006794953206764875,0.8638287078095823,0.015370053886101328,0.002705865731260708,0.7340909240176291,0.015905420068544278,0.4622000673510211,0.7339477719452703,0.022602132806666883,0.6405495026458773,0.7313296151325631,0.021979648049091284,0.6503979192275338,0.8551748777379693,0.07816057893186633,0.35046461182853256,0.8625194482599984,0.07982272522184014,0.3538507976765026
1398094,0.9105002031963286,0.02739271364577884,0.43058429146547333,0.8276721204176731,0.05160304906292044,0.14444478819365997,,,,1.0133523778760773,0.0661348279447838,0.48056345058102173,0.9164770595817489,0.03883291730080234,0.5185600975638589,0.9061657077020057,0.03630183590334781,0.4807236759548439,0.9151889190501988,0.04141754550429173,0.4928885596695579,0.8232589310591417,0.04597997021213334,0.13113941724899536,0.9477840274756176,0.03375588146795213,0.8277877935695858,0.8533362105651588,0.04914217948788685,0.6681375665744751,0.9659969182164596,0.05315007894987641,0.7070327228581241,,,,,,
1804596,1.0105681518172929,0.10142623028367555,0.5404164897673657,,,,,,,,,,,,,,,,0.9815500520869147,0.12296999315381625,0.4482373845612139,,,,0.9322432343109337,0.10176124798428282,0.21284309205428983,,,,,,,,,,,,
1805862,0.983238866884132,0.072399397877004,0.40607841647628,0.910580257679935,0.07861518082594951,0.3965344400471567,,,,1.3139196799981763,0.14642493541934323,0.3929901917298647,,,,,,,1.0116906427040788,0.07212741400789388,0.18831924641339845,0.9037914584909869,0.07761270536573876,0.4234212246808227,1.1892575282577666,0.16699496986630188,0.8340908742794134,,,,,,,,,,,,
1945109,0.9312115004162865,0.018849395684939926,0.6541251949291251,0.8638062739687179,0.05606145318621325,0.6466342127708766,0.9628287285300744,0.07309521303509467,0.6050067733473529,0.9691001300805641,0.034549011388127965,0.7893047672558049,0.9165184320155167,0.025921782407435156,0.31853344289907265,0.9226832236708927,0.02446233240005781,0.4420136645222108,0.9423286912711981,0.02950720803791559,0.8394049674142079,0.9039750886391729,0.04462869897861811,0.5028964973228829,0.937422953810859,0.02077903935576771,0.5430391176937063,0.9207798926001164,0.03505848622164533,0.6726452719755822,0.9245944694981204,0.034144782945355154,0.3422198372817961,0.9897317357182979,0.11754393644073982,0.30091110101386365,0.9373551011087636,0.09044729588009415,0.6070332740473409
